M_fit_Q1,y_fit_Q1,M_fit_Q2,y_fit_Q2,M_fit_Q3,y_fit_Q3,M_fit_Q4,y_fit_Q4
5000.033854166667,66.7906873564163,5000.888118489584,67.12693366224003,5000.011555989583,66.68700215960928,5000.005110677083,66.32988786171411
5095.191715793684,67.42146609761205,5096.044464406824,67.76075258529343,5095.169973501843,67.3168136579852,5095.163194190839,66.95634405034362
5190.349577420701,68.04639787087504,5191.200810324065,68.38869757462541,5190.328391014103,67.94078704867893,5190.321277704595,67.5769930721427
5285.507439047718,68.66564231709322,5286.357156241305,69.01092897279959,5285.486808526363,68.55908173391016,5285.47936121835,68.1919934884417
5380.665300674736,69.27935194215554,5381.513502158546,69.62759995733187,5380.645226038623,69.17184999146649,5380.637444732106,68.8014967735076
5475.823162301754,69.8876725555706,5476.669848075786,70.23885698106037,5475.803643550883,69.77923741268219,5475.7955282458615,69.40564775023486
5570.981023928771,70.49074367501456,5571.826193993027,70.84484017831463,5570.962061063143,70.38138330639515,5570.953611759617,70.00458499199141
5666.138885555788,71.0886988999879,5666.982539910267,71.44568374007555,5666.120478575404,70.97842107205753,5666.111695273372,70.5984411937785
5761.296747182805,71.68166625741628,5762.138885827508,72.04151626097126,5761.278896087663,71.57047854483088,5761.2697787871275,71.187343515521
5856.454608809822,72.2697685217276,5857.295231744748,72.63246106065088,5856.437313599923,72.15767831519483,5856.427862300883,71.77141390000351
5951.612470436839,72.85312351167255,5952.451577661989,73.21863648181098,5951.595731112183,72.74013802533271,5951.585945814639,72.35076936770463
6046.770332063857,73.43184436592074,6047.6079235792295,73.80015616691512,6046.754148624443,73.31797064432384,6046.744029328394,72.92552229054796
6141.928193690874,74.00603979925869,6142.76426949647,74.37712931543906,6141.912566136703,73.89128472396553,6141.90211284215,73.49578064638406
6237.086055317892,74.57581434103253,6237.92061541371,74.9496609232908,6237.070983648963,74.46018463686605,6237.060196355906,74.06164825583551
6332.243916944908,75.14126855731672,6333.076961330951,75.51785200589242,6332.229401161223,75.02477079828722,6332.218279869661,74.62322500297621
6427.401778571926,75.70249925814618,6428.233307248192,76.08179980626578,6427.387818673484,75.58513987307195,6427.376363383417,75.18060704117391
6522.559640198943,76.25959969102071,6523.389653165432,76.64159798933619,6522.546236185744,76.14138496886449,6522.5344468971725,75.73388698529635
6617.71750182596,76.81265972177765,6618.545999082673,77.19733682355343,6617.704653698003,76.69359581671709,6617.692530410928,76.28315409137012
6712.875363452978,77.36176600382557,6713.702344999913,77.74910335082747,6712.863071210263,77.24185894007499,6712.850613924684,76.82849442467815
6808.033225079995,77.907002136642,6808.858690917154,78.29698154568464,6808.021488722523,77.78625781304095,6808.008697438439,77.36999101719309
6903.191086707012,78.44844881435588,6904.015036834394,78.84105246446856,6903.179906234784,78.32687300873906,6903.166780952195,77.90772401516125
6998.348948334029,78.98618396516223,6999.171382751634,79.38139438533618,6998.338323747043,78.86378233852439,6998.324864465951,78.44177081758066
