M_fit_Q1,y_fit_Q1,M_fit_Q2,y_fit_Q2,M_fit_Q3,y_fit_Q3,M_fit_Q4,y_fit_Q4
5000.007747395834,64.31441756938527,5000.277213541666,63.66339015648322,5000.023111979167,64.16044690003034,5000.048404947916,63.84497807317178
5095.1663164736365,64.92194207197701,5095.434590637173,64.2647570436788,5095.181115444143,64.76651920643003,5095.205998387069,64.44808013141764
5190.32488555144,65.52383391909304,5190.591967732679,64.86054843987861,5190.33911890912,65.36697231302401,5190.363591826221,65.04559043284839
5285.483454629243,66.12024692847729,5285.749344828186,65.45091660005983,5285.497122374096,65.96195967180608,5285.521185265373,65.63766168172329
5380.642023707047,66.71132804138064,5380.906721923692,66.03600697267468,5380.655125839073,66.55162787470425,5380.678778704525,66.22443975549977
5475.80059278485,67.29721774535206,5476.064099019199,66.61595861813588,5475.813129304049,67.13611707536963,5475.836372143676,66.80606412457969
5570.959161862654,67.87805046418087,5571.221476114704,67.19090459478791,5570.971132769026,67.71556137819452,5570.993965582828,67.38266823944274
5666.117730940457,68.4539549180562,5666.378853210211,67.76097231539966,5666.129136234002,68.29008919761858,5666.151559021981,67.95437988821135
5761.27630001826,69.02505445667796,5761.536230305717,68.32628387688372,5761.287139698978,68.85982359045055,5761.309152461133,68.52132152736138
5856.434869096063,69.5914673677607,5856.693607401224,68.88695636566,5856.4451431639545,69.42488256364165,5856.466745900285,69.08361058800294
5951.593438173866,70.15330716311664,5951.85098449673,69.44310214082671,5951.6031466289305,69.9853793596913,5951.624339339437,69.64135975990148
6046.75200725167,70.71068284427729,6047.008361592237,69.99482909707865,6046.761150093907,70.54142272164025,6046.781932778589,70.19467725518494
6141.910576329473,71.2636991494147,6142.165738687743,70.5422409091156,6141.919153558883,71.09311713940764,6141.939526217741,70.74366705348491
6237.069145407277,71.81245678314612,6237.32311578325,71.08543725910859,6237.077157023859,71.64056307905244,6237.0971196568935,71.28842913008458
6332.22771448508,72.35705263065046,6332.480492878756,71.62451404863798,6332.235160488836,72.183857196384,6332.254713096045,71.82905966849154
6427.386283562882,72.89757995738597,6427.637869974262,72.1595635963792,6427.393163953812,72.7230925362079,6427.412306535197,72.36565125871535
6522.544852640686,73.43412859557489,6522.795247069769,72.6906748226904,6522.551167418789,73.25835871837053,6522.569899974349,72.89829308240733
